3664.6456 	EXP 	fixation: autoDraw = False
3664.6456 	EXP 	grating: autoDraw = True
3664.9457 	EXP 	grating: autoDraw = False
3665.2346 	EXP 	New trial (rep=18, index=0): None
3665.2463 	EXP 	fixation: autoDraw = False
3665.2463 	EXP 	grating: autoDraw = False
3665.2463 	EXP 	grating: ori = 4.0
3665.2463 	EXP 	fixation: autoDraw = True
3666.2451 	EXP 	grating: autoDraw = True
3666.2616 	EXP 	fixation: autoDraw = False
3666.5450 	EXP 	grating: autoDraw = False
3666.7845 	EXP 	New trial (rep=19, index=0): None
3666.7954 	EXP 	fixation: autoDraw = False
3666.7954 	EXP 	grating: autoDraw = False
3666.7954 	EXP 	grating: ori = -5.0
3666.7954 	EXP 	fixation: autoDraw = True
3667.7948 	EXP 	grating: autoDraw = True
3667.8112 	EXP 	fixation: autoDraw = False
3668.0945 	EXP 	grating: autoDraw = False
3668.3513 	EXP 	New trial (rep=20, index=0): None
3668.3620 	EXP 	fixation: autoDraw = False
3668.3620 	EXP 	grating: autoDraw = False
3668.3620 	EXP 	grating: ori = 0.0
3668.3620 	EXP 	fixation: autoDraw = True
3669.3609 	EXP 	grating: autoDraw = True
3669.3776 	EXP 	fixation: autoDraw = False
3669.6608 	EXP 	grating: autoDraw = False
3669.8141 	EXP 	New trial (rep=21, index=0): None
3669.8279 	EXP 	fixation: autoDraw = False
3669.8279 	EXP 	grating: autoDraw = False
3669.8279 	EXP 	grating: ori = 0.0
3669.8279 	EXP 	fixation: autoDraw = True
3670.8270 	EXP 	fixation: autoDraw = False
3670.8270 	EXP 	grating: autoDraw = True
3671.1271 	EXP 	grating: autoDraw = False
3671.4161 	EXP 	New trial (rep=22, index=0): None
3671.4272 	EXP 	fixation: autoDraw = False
3671.4272 	EXP 	grating: autoDraw = False
3671.4272 	EXP 	grating: ori = 0.0
3671.4272 	EXP 	fixation: autoDraw = True
3672.4273 	EXP 	fixation: autoDraw = False
3672.4273 	EXP 	grating: autoDraw = True
3672.7269 	EXP 	grating: autoDraw = False
3672.9158 	EXP 	New trial (rep=23, index=0): None
3672.9272 	EXP 	fixation: autoDraw = False
3672.9272 	EXP 	grating: autoDraw = False
3672.9272 	EXP 	grating: ori = 0.0
3672.9272 	EXP 	fixation: autoDraw = True
3673.9270 	EXP 	fixation: autoDraw = False
3673.9270 	EXP 	grating: autoDraw = True
3674.2262 	EXP 	grating: autoDraw = False
3674.3823 	EXP 	New trial (rep=24, index=0): None
3674.3932 	EXP 	fixation: autoDraw = False
3674.3932 	EXP 	grating: autoDraw = False
3674.3932 	EXP 	grating: ori = 0.0
3674.3932 	EXP 	fixation: autoDraw = True
3675.3931 	EXP 	fixation: autoDraw = False
3675.3931 	EXP 	grating: autoDraw = True
3675.6932 	EXP 	grating: autoDraw = False
